uf;localidade;CEP;expr.;rodo;tarifa;frap;distribuidor;redespacho
AC;ACRELANDIA;69945000; 10; 23;Interior;Nao;CO RIO BRANCO 01;
AC;ASSIS BRASIL;69935000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;BRASILEIA;69932000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;CRUZEIRO DO SUL;69980000; 07; 25;Interior;Nao;CO RIO BRANCO 01;FLUVIAL
AC;EPITACIOLANDIA;69934000; 10; 23;Interior;Nao;CO RIO BRANCO 01;
AC;FEIJO;69960000; 12; 25;Interior;Nao;CO RIO BRANCO 01;FLUVIAL
AC;JORDAO;69975000; 15; 21;Interior;Nao;CO RIO BRANCO 01;
AC;MANCIO LIMA;69990000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;MANOEL URBANO;69950000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;MARECHAL THAUMATURGO;69983000; 15; 21;Interior;Nao;CO RIO BRANCO 01;
AC;PLACIDO DE CASTRO;69928000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;PORTO ACRE;69927000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;PORTO WALTER;69982000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;RIO BRANCO;69923000 a 69923999; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;RIO BRANCO;69922000 a 69922999; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;RIO BRANCO;69900001 a 69921999; 02; 15;Capital;Sim;CO RIO BRANCO 01;
AC;RODRIGUES ALVES;69985000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;SANTA ROSA DO PURUS;69955000; 15; 21;Interior;Nao;CO RIO BRANCO 01;
AC;SENA MADUREIRA;69940000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;SENADOR GUIOMARD;69925000; 06; 19;Interior;Nao;CO RIO BRANCO 01;
AC;TARAUACA;69970000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AC;XAPURI;69930000; 08; 21;Interior;Nao;CO RIO BRANCO 01;
AL;AGUA BRANCA;57490000; 04; 10;Interior;Nao;CO ARAPIRACA 01;
